epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,441.15,1.28001,1.77793,1.4451,0.35671,0.36106,0.31227,0.13652,1.92921,2.59764,2.02321,0.000900842,0.000900842,0.000900842
58,448.613,1.25662,1.62217,1.40959,0.34041,0.33362,0.27308,0.12884,1.98698,2.51598,1.97619,0.00089141,0.00089141,0.00089141
59,456.124,1.27952,1.7127,1.43366,0.33561,0.23209,0.22073,0.10269,1.92664,2.89543,1.85266,0.000881979,0.000881979,0.000881979
60,463.697,1.27641,1.64889,1.39269,0.36986,0.26791,0.25178,0.12539,1.8831,2.58287,1.91764,0.000872547,0.000872547,0.000872547
61,471.297,1.23241,1.58315,1.40129,0.2637,0.34485,0.22268,0.10728,1.96026,2.4515,2.00012,0.000863116,0.000863116,0.000863116
62,478.628,1.26042,1.5854,1.43253,0.31666,0.44162,0.33327,0.1707,1.79556,2.36783,1.86349,0.000853685,0.000853685,0.000853685
63,486.151,1.1986,1.51583,1.38051,0.33621,0.42176,0.32495,0.1619,1.76789,2.50954,1.77595,0.000844253,0.000844253,0.000844253
64,493.572,1.22598,1.54348,1.38631,0.30393,0.38975,0.26209,0.13189,1.90606,2.39297,1.81658,0.000834822,0.000834822,0.000834822
65,501.085,1.23476,1.50701,1.38101,0.31094,0.3521,0.25908,0.12009,1.80817,2.40175,1.81946,0.00082539,0.00082539,0.00082539
66,508.447,1.17989,1.45399,1.34719,0.47093,0.26453,0.29527,0.13411,1.82739,2.37187,1.85434,0.000815959,0.000815959,0.000815959
67,515.84,1.193,1.41988,1.35389,0.2923,0.31572,0.26416,0.11566,2.00483,2.46284,1.94813,0.000806528,0.000806528,0.000806528
68,523.227,1.16567,1.40919,1.34825,0.38546,0.33645,0.31982,0.15718,1.87478,2.38176,1.92754,0.000797096,0.000797096,0.000797096
69,530.642,1.16254,1.4158,1.33076,0.30512,0.44364,0.28973,0.139,1.83825,2.38523,1.88972,0.000787665,0.000787665,0.000787665
70,538.135,1.12879,1.3423,1.316,0.3384,0.34396,0.26595,0.11081,1.89182,2.54056,1.90278,0.000778233,0.000778233,0.000778233
71,545.678,1.11099,1.3055,1.30411,0.27233,0.29469,0.21843,0.09019,1.95961,2.66218,1.93045,0.000768802,0.000768802,0.000768802
72,553.211,1.0971,1.27848,1.29701,0.34727,0.35436,0.2518,0.10607,1.94782,2.504,1.93751,0.000759371,0.000759371,0.000759371
73,560.892,1.14936,1.35738,1.339,0.31912,0.39491,0.28616,0.12106,1.96275,2.51944,1.95945,0.000749939,0.000749939,0.000749939
74,568.38,1.10736,1.32228,1.28605,0.30189,0.32662,0.22511,0.10136,1.94368,2.40142,1.92888,0.000740508,0.000740508,0.000740508
75,575.701,1.07446,1.34826,1.2552,0.28961,0.33003,0.23523,0.10987,1.8758,2.41052,1.85576,0.000731076,0.000731076,0.000731076
76,582.997,1.08901,1.27173,1.26012,0.36269,0.4048,0.30795,0.14917,1.82513,2.35136,1.88761,0.000721645,0.000721645,0.000721645
